message,label
Win money now,spam
Limited offer just for you,spam
Call me when free,ham
Let's meet tomorrow,ham
Congratulations you won lottery,spam
Are you coming to class,ham
Free recharge available,spam
Project meeting at 3pm,ham
Claim your prize now,spam
Lunch at 1?,ham
URGENT! Your bank account has been compromised. Click here immediately,spam
Can you pick up milk on your way home,ham
You've been selected for a FREE cruise! Reply YES now,spam
Running 10 minutes late to the appointment,ham
Hot singles in your area want to meet you,spam
Don't forget mom's birthday is this weekend,ham
WINNER! You've won $5000! Text CLAIM to collect,spam
What time does the movie start tonight,ham
Act now! Limited stock! Buy 1 get 10 FREE,spam
Can we reschedule our meeting to Friday,ham
Your package is waiting! Pay shipping fee to receive,spam
Thanks for dinner last night had a great time,ham
CONGRATULATIONS! You're our 1000th visitor! Click to claim reward,spam
Do you have the homework assignment for tomorrow,ham
Make $10000 working from home! No experience needed,spam
See you at the gym at 6,ham
ALERT! Your account will be closed unless you verify now,spam
Can you send me the presentation slides,ham
Lose 30 pounds in 10 days! Order our miracle pill,spam
Happy birthday! Hope you have a wonderful day,ham
You have 1 new message from a secret admirer,spam
Are we still on for coffee this afternoon,ham
FREE iPhone! Just pay small processing fee,spam
The report is due next Monday,ham
Triple your income overnight! Join now,spam
Did you finish watching that series I recommended,ham
LAST CHANCE! Offer expires in 1 hour,spam
I'll be there in 5 minutes,ham
Get rich quick! Invest in this opportunity today,spam
What should I bring to the potluck,ham
You have unclaimed insurance benefits! Call immediately,spam
Great job on the presentation today,ham
VIAGRA 80% OFF! Order now while supplies last,spam
Can you help me move this Saturday,ham
Nigerian prince needs your help! Guaranteed $1 million,spam
The kids have soccer practice at 4pm,ham
FREE MONEY! Government grant you qualify for,spam
Let me know when you're free to talk,ham
Your loan has been APPROVED! No credit check required,spam
Congratulations on your promotion,ham
Click here to claim your free gift card NOW,spam
Want to grab dinner tonight,ham
BREAKING: You qualify for debt relief! Act fast,spam
I found your keys they were in the car,ham
Amazing offer! Lose weight without exercise,spam
Can we talk about the project later,ham
You've won a brand new car! Collect your prize,spam
Thanks for lending me that book,ham
ATTENTION: Final notice before legal action,spam
What's the wifi password again,ham
Earn $500 per day from your phone! Click now,spam
See you at the party on Saturday,ham
Your credit score is TOO LOW! Fix it instantly,spam
How was your day at work,ham
EXCLUSIVE DEAL! Designer bags 95% off,spam
Can you drive me to the airport tomorrow,ham
You have inherited $2 million! Reply to claim,spam
Movie night at my place Friday,ham
Buy our product and get INSTANT results guaranteed,spam
Did you get my email about the budget,ham
FINAL WARNING: Pay your outstanding bill now,spam
Love you mom talk to you soon,ham
Work from home and make thousands weekly,spam
When is your flight landing,ham
SHOCKING: This one trick doctors don't want you to know,spam
Happy anniversary sweetheart,ham
Refinance your home NOW! Lowest rates ever,spam
Can I borrow your charger,ham
You are a WINNER! Cash prize awaiting,spam
Dentist appointment confirmed for Tuesday,ham
STOP PAYING rent! Own a home with $0 down,spam
Do we need anything from the grocery store,ham
Miracle cure for all diseases! Order today,spam
Congratulations on the new baby,ham
URGENT tax refund waiting! Claim before it expires,spam
What did you think of the meeting,ham
100% FREE trial! Cancel anytime but you won't want to,spam
Thanks for your help yesterday,ham
Get a FREE laptop! Just complete this survey,spam
Are you watching the game tonight,ham
Your social security number has been suspended,spam
I'll pick you up at 7,ham
CLICK NOW or miss out forever! Limited time only,spam
Good luck on your exam tomorrow,ham
Congratulations! You've been pre-approved for a credit card,spam
Can you water my plants while I'm away,ham
Hot stock tip! Invest now before it's too late,spam
How's your mom doing after the surgery,ham
FREE prescription drugs! No doctor needed,spam
Let's catch up over lunch next week,ham
ALERT: Suspicious activity on your account detected,spam
The train is delayed by 20 minutes,ham
Make money while you sleep! Guaranteed income,spam
Do you want to carpool tomorrow,ham
You have a secret admirer! Find out who,spam
Thanks for the birthday wishes everyone,ham
Last chance to claim your $1000 gift card,spam
Can you recommend a good plumber,ham
WINNER! You've been chosen for a shopping spree,spam
Meeting moved to conference room B,ham
Enlarge your manhood! Natural pills that work,spam
Hope you feel better soon,ham
Your package could not be delivered. Pay redelivery fee,spam
What time should I arrive for the barbecue,ham
BREAKING NEWS: Make $5000 in 24 hours,spam
I'm stuck in traffic will be late,ham
Claim your government stimulus check now,spam
Good morning! Have a great day,ham
FREE vacation! Just attend a short presentation,spam
Can you send me that recipe,ham
Act fast! This deal ends at midnight tonight,spam
Congratulations on your engagement,ham
Your computer has a virus! Download our software immediately,spam
I'm outside waiting for you,ham
SHOCKING weight loss secret revealed! Try it free,spam
What should we have for dinner,ham
You qualify for a $10000 personal loan instantly,spam
Thanks for being such a good friend,ham
